key,name,description
score_10,小试牛刀,累计造成伤害达到10
score_100,越打越顺,累计造成伤害达到100
score_1000,火力全开,累计造成伤害达到1000
score_10000,刀刀见血,累计造成伤害达到10000
score_100000,战意沸腾,累计造成伤害达到100000
score_1000000,人形轰炸机,累计造成伤害达到1000000
score_10000000,势不可挡,累计造成伤害达到10000000
score_100000000,毁灭节拍,累计造成伤害达到100000000
score_1000000000,战场主宰,累计造成伤害达到1000000000
score_10000000000,一击清屏,累计造成伤害达到10000000000
score_100000000000,神挡杀神,累计造成伤害达到100000000000
score_1000000000000,牛逼哄哄,累计造成伤害达到1000000000000
draw_10,摸牌起手,累计抽牌达到10
draw_100,牌感在线,累计抽牌达到100
draw_1000,连抽不断,累计抽牌达到1000
draw_10000,手速飞快,累计抽牌达到10000
draw_100000,牌库老友,累计抽牌达到100000
draw_1000000,抽牌成瘾,累计抽牌达到1000000
draw_10000000,过牌机器,累计抽牌达到10000000
draw_100000000,卡海漫游,累计抽牌达到100000000
draw_1000000000,抽到手软,累计抽牌达到1000000000
draw_10000000000,牌局导演,累计抽牌达到10000000000
draw_100000000000,天胡常客,累计抽牌达到100000000000
draw_1000000000000,万牌归宗,累计抽牌达到1000000000000
play_10,初次落子,累计出牌达到10
play_100,连招入门,累计出牌达到100
play_1000,出牌流畅,累计出牌达到1000
play_10000,节奏拉满,累计出牌达到10000
play_100000,回合艺术家,累计出牌达到100000
play_1000000,操作怪,累计出牌达到1000000
play_10000000,手牌指挥官,累计出牌达到10000000
play_100000000,连锁反应,累计出牌达到100000000
play_1000000000,战术宗师,累计出牌达到1000000000
play_10000000000,一回合剧本,累计出牌达到10000000000
play_100000000000,牌局编年史,累计出牌达到100000000000
play_1000000000000,万法归一,累计出牌达到1000000000000
mana_10,蓝量起步,累计获得魔力达到10
mana_100,法力汹涌,累计获得魔力达到100
mana_1000,源能奔流,累计获得魔力达到1000
mana_10000,魔潮涌动,累计获得魔力达到10000
mana_100000,能量暴涨,累计获得魔力达到100000
mana_1000000,法力熔炉,累计获得魔力达到1000000
mana_10000000,奥术引擎,累计获得魔力达到10000000
mana_100000000,无穷供能,累计获得魔力达到100000000
mana_1000000000,蓝海翻腾,累计获得魔力达到1000000000
mana_10000000000,永动核心,累计获得魔力达到10000000000
mana_100000000000,星核供电,累计获得魔力达到100000000000
mana_1000000000000,法力天灾,累计获得魔力达到1000000000000
heal_10,止血成功,累计生命恢复达到10
heal_100,小有起色,累计生命恢复达到100
heal_1000,稳住阵脚,累计生命恢复达到1000
heal_10000,起死回生,累计生命恢复达到10000
heal_100000,再战三百回,累计生命恢复达到100000
heal_1000000,续航怪物,累计生命恢复达到1000000
heal_10000000,血条重铸,累计生命恢复达到10000000
heal_100000000,不灭意志,累计生命恢复达到100000000
heal_1000000000,生机洪流,累计生命恢复达到1000000000
heal_10000000000,永生错觉,累计生命恢复达到10000000000
heal_100000000000,涅槃往复,累计生命恢复达到100000000000
heal_1000000000000,不朽之躯,累计生命恢复达到1000000000000
draw_draw,抽抽爆,用“抽牌”抽到“抽牌”
overheat,过热,打出一张魔力消耗不小于1024的卡牌
double_agent,双面间谍,被从对手处偷到的卡牌或dot杀死
clear_easy,初战告捷,完成简单模式
clear_hard,逆境破局,完成困难模式
clear_hell,地狱征服者,完成地狱模式
